,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01010,0,0,1,1,1,1,1
1,AT1G01120,0,0,1,1,0,0,1
2,AT1G01180,0,0,0,1,1,0,0
3,AT1G01260,0,0,0,1,1,0,1
4,AT1G01340,1,1,1,1,1,1,1
5,AT1G01350,0,0,0,1,0,0,0
6,AT1G01480,0,0,1,1,1,1,1
7,AT1G01550,0,0,0,1,0,0,0
8,AT1G01560,1,1,1,1,1,1,1
9,AT1G01720,0,0,1,1,0,1,0
10,AT1G02030,0,0,1,0,0,0,0
11,AT1G02120,0,0,1,1,1,0,1
12,AT1G02170,0,0,1,1,1,1,1
13,AT1G02190,0,0,0,1,0,0,0
14,AT1G02360,1,1,1,1,1,1,1
15,AT1G02400,0,1,1,1,1,1,1
16,AT1G02405,0,0,1,0,0,0,0
17,AT1G02410,0,0,0,1,0,0,0
18,AT1G02440,0,0,1,1,0,0,0
19,AT1G02450,0,0,1,1,0,0,0
20,AT1G02500,0,0,0,1,0,0,0
21,AT1G02850,1,1,0,0,0,1,0
22,AT1G02860,0,0,0,1,0,0,0
23,AT1G02880,0,0,1,1,1,1,1
24,AT1G02900,0,0,0,0,0,0,1
25,AT1G02920,1,1,1,1,1,1,1
26,AT1G02930,1,1,1,1,1,1,1
27,AT1G02940,1,0,1,1,1,1,1
28,AT1G02990,0,0,0,1,0,0,0
29,AT1G03010,0,1,0,0,0,0,0
30,AT1G03060,0,0,1,1,1,0,0
31,AT1G03080,0,0,0,1,1,0,1
32,AT1G03220,0,0,1,1,1,1,1
33,AT1G03230,1,0,1,1,1,1,1
34,AT1G03290,0,0,1,1,1,1,1
35,AT1G03370,1,0,1,1,1,1,1
36,AT1G03400,0,0,1,0,0,0,1
37,AT1G03430,0,0,1,1,1,0,1
38,AT1G03590,0,0,1,1,0,0,0
39,AT1G03610,0,0,0,1,0,0,0
40,AT1G03730,0,0,0,1,0,0,1
41,AT1G03740,0,0,1,1,1,1,1
42,AT1G03750,0,0,1,0,0,0,0
43,AT1G03905,0,1,1,1,1,1,1
44,AT1G04090,0,0,0,1,0,0,0
45,AT1G04100,0,0,1,1,1,1,1
46,AT1G04200,0,0,0,1,0,0,0
47,AT1G04220,0,0,1,0,0,1,1
48,AT1G04330,0,0,1,1,0,0,1
49,AT1G04360,0,0,0,1,0,0,1
50,AT1G04370,0,0,1,1,0,0,1
51,AT1G04380,0,0,1,1,1,0,1
52,AT1G04490,0,0,0,0,0,0,1
53,AT1G04500,0,0,1,0,1,0,1
54,AT1G04570,1,0,1,0,0,0,0
55,AT1G04645,0,0,0,1,1,0,0
56,AT1G04770,1,1,1,1,1,1,0
57,AT1G04780,0,0,0,1,1,0,0
58,AT1G04930,0,0,0,1,0,0,0
59,AT1G04960,0,0,0,1,0,0,0
60,AT1G04980,0,0,1,0,0,0,0
61,AT1G05000,0,0,1,1,1,0,0
62,AT1G05010,1,1,1,1,1,1,1
63,AT1G05020,0,0,0,1,1,0,0
64,AT1G05135,0,0,1,1,0,0,1
65,AT1G05170,0,0,1,1,1,1,1
