,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01070,0,0,1,1,0,0,1
1,AT1G01080,0,0,1,0,0,0,0
2,AT1G01170,0,0,1,0,0,0,0
3,AT1G01190,0,0,0,1,0,0,1
4,AT1G01240,0,0,1,0,0,0,0
5,AT1G01300,0,0,0,1,0,0,0
6,AT1G01320,0,0,1,1,1,0,1
7,AT1G01380,0,0,0,1,0,0,0
8,AT1G01420,0,0,0,1,0,0,0
9,AT1G01430,0,1,1,1,1,1,0
10,AT1G01453,0,0,0,1,0,0,0
11,AT1G01620,0,0,1,0,0,1,1
12,AT1G01760,0,0,0,1,0,0,0
13,AT1G01770,0,0,1,0,0,0,0
14,AT1G01830,0,0,0,1,0,0,0
15,AT1G01860,0,0,1,1,1,0,1
16,AT1G01970,0,0,1,1,1,0,0
17,AT1G02060,0,0,0,1,0,0,0
18,AT1G02150,0,0,1,1,1,0,0
19,AT1G02180,0,0,1,1,0,1,0
20,AT1G02280,0,0,1,1,1,0,1
21,AT1G02300,0,0,1,1,1,0,0
22,AT1G02340,0,1,0,0,0,0,0
23,AT1G02350,0,0,0,1,0,0,0
24,AT1G02370,0,0,1,1,1,1,0
25,AT1G02610,0,1,1,0,0,0,0
26,AT1G02640,1,0,1,0,0,0,1
27,AT1G02700,0,0,1,0,0,0,0
28,AT1G02710,0,0,1,1,0,0,0
29,AT1G02730,0,0,0,1,0,0,1
30,AT1G02820,1,0,0,0,1,1,0
31,AT1G03055,0,0,1,1,0,0,0
32,AT1G03090,0,1,0,0,0,0,0
33,AT1G03100,0,0,0,1,0,0,0
34,AT1G03120,0,0,0,1,0,0,0
35,AT1G03130,1,0,1,1,1,1,1
36,AT1G03160,0,0,0,1,0,0,0
37,AT1G03270,0,0,0,1,0,0,0
38,AT1G03300,0,1,1,1,1,1,1
39,AT1G03310,0,0,1,1,1,1,1
40,AT1G03340,0,0,0,1,0,0,0
41,AT1G03440,0,1,1,1,0,1,0
42,AT1G03530,0,0,0,1,0,0,0
43,AT1G03540,0,0,0,1,0,0,0
44,AT1G03580,1,1,0,0,0,0,0
45,AT1G03600,0,0,1,1,1,0,1
46,AT1G03630,0,0,1,1,1,0,1
47,AT1G03687,0,0,0,1,0,0,0
48,AT1G03820,0,0,0,1,0,1,1
49,AT1G03830,0,0,0,1,0,0,0
50,AT1G03850,1,1,0,0,0,0,0
51,AT1G03870,0,0,1,1,1,1,1
52,AT1G04020,0,0,0,1,0,0,0
53,AT1G04040,0,0,1,1,1,1,1
54,AT1G04110,0,0,0,0,1,0,0
55,AT1G04160,0,0,0,1,0,0,0
56,AT1G04240,1,0,1,1,1,1,1
57,AT1G04250,0,0,0,0,0,0,1
58,AT1G04350,0,0,1,1,0,0,0
59,AT1G04430,0,0,0,1,0,0,0
60,AT1G04520,0,0,1,1,0,0,0
61,AT1G04550,0,0,1,1,0,0,0
62,AT1G04610,0,0,0,1,0,0,0
63,AT1G04640,0,0,0,1,0,0,0
64,AT1G04650,0,0,0,1,0,0,0
65,AT1G04680,0,0,1,1,1,0,1
66,AT1G04760,0,0,1,0,0,0,1
67,AT1G04940,0,0,0,1,1,0,1
68,AT1G05140,0,0,1,1,1,0,0
69,AT1G05280,0,0,0,1,0,0,0
70,AT1G05385,0,0,1,1,1,0,1
71,AT1G05420,0,0,0,1,1,1,1
72,AT1G05440,0,0,0,0,0,0,1
73,AT1G05460,0,0,1,1,1,0,0
74,AT1G05490,0,0,0,1,0,0,1
