ATG,LPS,chitin,elf,flg,nlp,OGs,pep
AT1G01010,0,0,1,1,1,1,1
AT1G01030,0,0,0,1,0,0,0
AT1G01120,0,0,1,1,0,0,1
AT1G01130,0,0,1,1,0,1,0
AT1G01140,0,0,0,0,0,1,0
AT1G01180,0,0,1,1,1,0,0
AT1G01225,0,0,1,1,0,0,0
AT1G01230,0,0,0,1,0,0,0
AT1G01260,0,1,1,1,1,1,1
AT1G01340,1,1,1,1,1,1,1
AT1G01350,0,0,0,1,0,0,0
AT1G01440,0,0,1,1,0,0,1
AT1G01470,0,0,0,0,0,1,0
AT1G01480,1,0,1,1,1,1,1
AT1G01490,0,0,0,1,1,0,0
AT1G01550,0,0,1,1,0,0,1
AT1G01560,1,1,1,1,1,1,1
AT1G01720,0,0,1,1,1,1,1
AT1G01725,0,0,0,1,0,0,0
AT1G01730,0,0,1,1,0,0,0
AT1G01940,0,0,0,0,1,0,0
AT1G01950,0,0,1,1,1,1,1
AT1G02030,0,0,1,1,0,0,0
AT1G02120,0,0,1,1,1,0,1
AT1G02170,0,0,1,1,1,1,1
AT1G02190,0,0,0,1,0,0,0
AT1G02220,0,0,1,1,1,1,1
AT1G02230,0,0,1,1,1,1,1
AT1G02310,0,0,0,0,0,1,1
AT1G02360,1,1,1,1,1,1,1
AT1G02390,0,0,0,0,0,1,0
AT1G02400,1,1,1,1,1,1,1
AT1G02405,0,0,1,1,0,1,1
AT1G02410,0,0,0,1,0,0,0
AT1G02430,0,0,0,1,0,0,0
AT1G02440,1,0,1,1,0,0,0
AT1G02450,1,1,1,1,0,1,1
AT1G02460,0,0,0,1,0,0,1
AT1G02470,0,0,0,0,0,1,0
AT1G02500,0,0,0,1,1,0,0
AT1G02580,0,0,0,0,1,0,0
AT1G02610,0,0,0,1,0,0,0
AT1G02660,0,0,1,1,1,1,1
AT1G02810,0,0,0,1,0,1,1
AT1G02850,1,1,1,1,1,1,1
AT1G02860,0,0,1,1,0,1,0
AT1G02880,1,1,1,1,1,1,1
AT1G02900,0,0,0,1,0,0,1
AT1G02920,1,1,1,1,1,1,1
AT1G02930,1,1,1,1,1,1,1
AT1G02940,1,0,1,1,1,1,1
AT1G02980,0,0,0,1,0,0,0
AT1G02990,0,0,0,1,0,0,0
AT1G03010,0,1,0,0,0,0,0
AT1G03040,0,0,0,1,0,0,0
AT1G03060,0,0,1,1,1,0,0
AT1G03080,0,0,0,1,1,0,1
AT1G03170,1,0,0,1,0,0,0
AT1G03220,0,1,1,1,1,1,1
AT1G03230,1,1,1,1,1,1,1
AT1G03290,0,0,1,1,1,1,1
AT1G03370,1,1,1,1,1,1,1
AT1G03400,0,0,1,0,0,0,1
AT1G03430,0,0,1,1,1,0,1
AT1G03590,0,0,1,1,0,0,0
AT1G03610,0,0,0,1,0,0,1
AT1G03660,0,0,0,0,0,1,0
AT1G03730,1,1,1,1,1,1,1
AT1G03740,1,1,1,1,1,1,1
AT1G03750,0,0,1,0,0,0,0
AT1G03770,0,0,0,0,0,1,0
AT1G03850,0,0,0,0,1,0,0
AT1G03905,0,1,1,1,1,1,1
AT1G03950,0,0,0,1,0,0,0
AT1G04090,0,0,0,1,0,0,0
AT1G04100,0,0,1,1,1,1,1
AT1G04120,0,0,0,1,0,0,0
AT1G04200,0,0,0,1,0,1,0
AT1G04220,0,0,1,0,0,1,1
AT1G04280,0,0,0,0,1,0,0
AT1G04330,0,0,1,1,0,0,1
AT1G04360,0,0,0,1,1,0,1
AT1G04370,0,0,1,1,0,0,1
AT1G04380,0,0,1,1,1,0,1
AT1G04490,0,0,1,1,1,1,1
AT1G04500,0,0,1,0,1,0,1
AT1G04555,0,0,0,1,0,0,0
AT1G04570,1,0,1,1,0,0,0
AT1G04645,0,0,1,1,1,0,1
AT1G04770,1,1,1,1,1,1,0
AT1G04780,0,0,0,1,1,0,0
AT1G04930,0,0,0,1,0,0,0
AT1G04960,0,0,0,1,0,0,0
AT1G04980,1,1,1,1,1,1,1
AT1G05000,0,0,1,1,1,0,1
AT1G05010,1,1,1,1,1,1,1
AT1G05020,0,0,0,1,1,0,0
AT1G05060,0,0,0,1,0,0,0
AT1G05135,0,0,1,1,0,0,1
AT1G05170,0,0,1,1,1,1,1
AT1G05300,0,1,1,1,1,1,1
AT1G05340,0,1,1,1,1,1,1
AT1G05350,0,0,1,1,0,0,0
AT1G05370,0,0,1,0,0,0,1
AT1G05450,0,0,1,1,1,0,0
AT1G05560,1,1,0,1,1,1,1
AT1G05575,1,1,1,1,1,1,1
AT1G05630,0,0,1,0,0,0,0
AT1G05640,1,0,0,0,0,0,1
AT1G05670,0,0,1,1,1,1,1
AT1G05675,1,1,1,1,1,1,1
AT1G05680,1,0,0,1,1,1,1
AT1G05700,0,0,1,1,0,0,0
AT1G05710,0,0,0,1,1,1,1
AT1G05740,0,0,0,1,0,0,0
AT1G05805,0,0,0,1,0,0,0
AT1G05880,0,1,1,1,0,1,1
AT1G06050,0,0,0,1,1,0,0
AT1G06130,0,0,1,1,0,1,0
AT1G06135,1,1,1,1,1,1,1
AT1G06140,0,0,1,1,1,0,1
AT1G06148,0,0,1,1,1,1,1
AT1G06160,0,0,0,0,1,1,1
AT1G06180,1,0,1,0,1,1,1
AT1G06390,0,0,0,1,0,0,0
AT1G06515,0,0,0,1,0,0,0
AT1G06520,0,0,1,0,1,0,0
AT1G06540,1,0,0,1,0,0,1
AT1G06550,0,0,0,1,0,0,0
AT1G06570,0,0,0,1,0,0,1
AT1G06620,0,0,1,1,0,0,1
AT1G06770,0,0,0,1,0,0,0
AT1G06800,0,0,0,1,1,0,1
AT1G06830,0,0,1,1,1,1,1
AT1G06840,0,1,0,1,1,0,1
AT1G06970,0,0,0,1,0,0,0
AT1G07000,1,1,1,1,1,1,1
AT1G07020,0,0,1,1,1,1,1
AT1G07030,0,0,0,1,0,0,0
AT1G07128,0,0,1,1,1,0,1
AT1G07130,0,0,1,1,1,1,1
AT1G07135,1,1,1,1,1,1,1
AT1G07150,0,0,1,1,0,0,0
AT1G07160,1,1,1,1,1,1,1
AT1G07170,0,0,0,1,0,0,0
AT1G07175,0,0,0,1,0,0,0
AT1G07220,0,0,1,1,0,1,0
AT1G07230,0,0,0,1,0,0,0
AT1G07240,0,0,1,1,1,1,1
AT1G07300,0,0,0,1,1,0,0
AT1G07310,0,0,0,1,0,0,0
AT1G07350,0,1,1,0,1,0,0
AT1G07400,1,1,1,1,1,1,1
AT1G07430,0,0,0,0,0,1,0
AT1G07473,0,0,0,1,0,0,0
AT1G07500,0,0,0,1,1,1,0
AT1G07520,1,1,1,1,1,1,1
AT1G07570,0,0,1,1,0,0,0
AT1G07620,1,1,1,1,1,1,1
AT1G07630,0,1,1,1,1,1,1
AT1G07640,0,0,1,0,0,0,0
AT1G07650,0,1,1,1,0,1,1
AT1G07660,0,0,1,1,0,1,0
AT1G07670,0,0,1,0,0,0,0
AT1G07880,0,0,1,1,1,1,1
AT1G07885,0,0,1,1,1,1,1
AT1G07890,0,0,1,1,1,1,1
AT1G07900,0,1,1,1,1,1,1
AT1G07960,0,0,0,1,0,0,0
AT1G08050,1,1,1,1,1,1,1
AT1G08230,0,0,0,0,1,1,0
AT1G08250,1,1,1,1,1,1,1
AT1G08290,0,0,0,0,0,0,1
AT1G08310,0,0,0,1,0,0,0
AT1G08315,0,0,1,1,1,1,0
AT1G08350,0,0,0,1,0,0,0
AT1G08370,0,0,0,1,0,0,0
AT1G08430,0,1,0,0,0,0,0
AT1G08450,1,1,1,1,1,1,1
